pk,nombre,descripcion_entidad,horario,equipamiento,transporte,descripcion,accesibilidad,content_url,nombre_via,clase_vial,tipo_num,num,planta,puerta,escaleras,orientacion,localidad,provincia,codigo_postal,cod_barrio,barrio,cod_distrito,distrito,coordenada_x,coordenada_y,latitud,longitud,telefono,fax,email,tipo,parent_equipamiento_municipal_id,servicio,actividad_regular,punto_observ_id
11511887,Albergue San Juan de Dios,,,,Metro: Colombia (línea 9) y Santiago Bernabéu (línea 10).,Plazas:  140.,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ee307830c5ec710VgnVCM2000001f4a900aRCRD,HERREROS DE TEJADA,CALLE,V,3.0,,,,,MADRID,MADRID,28016,4.0,HISPANOAMERICA,5.0,CHAMARTIN,442204.0,4478310.0,40.453447325298434,-3.6816065049846416,913 440 020,,,/contenido/entidadesYorganismos/CentrosAtencionSocial/AlberguesSocialesCentrosAcogida,,,,1208
11849,Albergue Santa María de la Paz,,,,,Plazas:  98.,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=af6fd4985261c010VgnVCM1000000b205a0aRCRD,JESUS FERNANDEZ SANTOS,CALLE,V,2.0,,,,,MADRID,MADRID,28050,6.0,VALDEFUENTES,16.0,HORTALEZA,444492.0,4483692.0,40.50208755896672,-3.6550971620616406,917 662 087,,,/contenido/entidadesYorganismos/CentrosAtencionSocial/AlberguesSocialesCentrosAcogida,,,,1424
11658167,Albergue. San Martín de Porres,,,,Consulta los siguientes enlaces,Plazas:  62 para hombres (12 de las cuales son destinadas a personas del colectivo LGTBI),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=24259c8010810810VgnVCM1000001d4a900aRCRD,VIA CARPETANA,CALLE,V,47.0,,,,,MADRID,MADRID,28047,3.0,SAN ISIDRO,11.0,CARABANCHEL,437751.0,4472286.0,40.39886060464703,-3.733529796699932,91 428 11 70,,,/contenido/entidadesYorganismos/CentrosAtencionSocial/AlberguesSocialesCentrosAcogida,,medicalassistance,,1371
7827523,Alicia Koplowitz Centro de día y centro residencial de Esclerosis Múltiple de la Comunidad de Madrid,,,Centro residencial y centro de día para personas con discapacidad física.,"Metro: Valdebernardo (línea 9)  Bus: 71, 130, E4  Bicimad: Estación 465 (Cordel de Pavones, 48)",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e9f7c8c2e9ca410VgnVCM2000000c205a0aRCRD,JOSE PRAT,BULEVAR,V,40.0,,,,,MADRID,MADRID,28032,2.0,VALDEBERNARDO,19.0,VICALVARO,447406.0,4471911.0,40.3961484554016,-3.619735666015524,913 016 560,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosDiasPersonasDiscapacidad,,,,1526
11917,"Aluche, centro ocupacional para personas con discapacidad intelectual",,,Centro ocupacional para personas con discapacidad intelectual.,"Bus: 17, 34, 39, 117, 138, 139  Renfe: Las Águilas (C5)  Metro: Aluche (línea 5)",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f72466051361c010VgnVCM1000000b205a0aRCRD,RAFAEL FINAT,CALLE,V,48.0,,,,,MADRID,MADRID,28044,7.0,LAS AGUILAS,10.0,LATINA,434507.0,4470025.0,40.37823918300733,-3.771529019692818,917 062 921,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad,,,,1474
11155083,"Amafe, Centro de día",,,Centro de día para personas con enfermedad mental crónica.,"Metro: Ventas (línea 2, 5)",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c924648cbfeb0710VgnVCM2000001f4a900aRCRD,GENERAL ARANAZ,CALLE,V,31.0,,,,,MADRID,MADRID,28027,3.0,QUINTANA,15.0,CIUDAD LINEAL,445886.0,4477017.0,40.44204759712356,-3.638077447185629,913 612 768 / 620 730 289,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosDiasPersonasDiscapacidad,,,,1216
35013,"Amanecer, Centro ocupacional para personas con discapacidad intelectual",,,Centro ocupacional para personas con discapacidad intelectual.,"Metro: Prosperidad (línea 4), Cruz del Rayo (línea 9)  Bus: 73, 9  Bicimad: Estación 146 (calle María Francisca, 1)",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e087b3e42751c010VgnVCM2000000c205a0aRCRD,MATILDE DIEZ,CALLE,V,8.0,,,,,MADRID,MADRID,28002,3.0,CIUDAD JARDIN,5.0,CHAMARTIN,442860.0,4477466.0,40.44588922720919,-3.673799864511205,914 133 419,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad,,,,1325
7191232,"Ángeles Urbanos Hortaleza, centro ocupacional para personas con discapacidad intelectual",,,Centro ocupacional para personas con discapacidad intelectual.,"Metro: Canillas (línea 4)  Bus: 73, 120",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b9848f0794072410VgnVCM1000000b205a0aRCRD,JOSE ALVAREZ DE TOLEDO,CALLE,V,6.0,Baja,,,,MADRID,MADRID,28043,2.0,PIOVERA,16.0,HORTALEZA,446656.0,4479258.0,40.4622896632514,-3.629186839929892,911 558 200,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad,,,,1518
11156077,APAM Centro de rehabilitación,,,Centro de rehabilitación para personas con discapacidad física.,"Metro: Alvarado (línea 1)  Bus: 5, 149, 43, 124, 128, 3, 64, 66",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f96bbc18998c0710VgnVCM2000001f4a900aRCRD,JAEN,CALLE,V,32.0,,,,,MADRID,MADRID,28020,2.0,CUATRO CAMINOS,6.0,TETUAN,440616.0,4477972.0,40.45028920491589,-3.7002985278627993,915 333 722,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad,,fisioterapia,,1307
23711,Apartamentos Municipales para Mayores 'Retiro',,,Alojamiento.,"Metro: Sainz de BarandaBus: 15, 30, 56, 143, 202","Condiciones de Admisión: - Estar empadronado en el municipio de Madrid.- Ser mayor de 65 años (también el cónyuge que conviva con él, siempre que tenga cumplidos los 60 años).- Ser autónomo en la realización de las actividades básicas diarias.- Carecer de vivienda propia o ser ésta inadecuada y/o encontrarse en riesgo por vivir solo.- Estar dispuesto a ingresar en un Centro Residencial Asistido cuando no se valga por sí mismo.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce926545f951c010VgnVCM2000000c205a0aRCRD,JOSE MARTINEZ DE VELASCO,CALLE,V,22.0,,,,,MADRID,MADRID,28007,3.0,ESTRELLA,3.0,RETIRO,443346.0,4473992.0,40.41461489944016,-3.667774590446818,682 713 719,,,/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/ResidenciasApartamentosMayores,11782.0,,,1008
